,Filename,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,Largest Included Sphere,Largest Free Sphere,Included Sphere Along Free Sphere Path
6477,wufcei_P1_charged,402.848,1698.67,1259.15,6.13683,4.62912,6.13411
6480,wufsic_P1,187.282,660.409,448.759,4.35725,3.19639,4.35725
6482,wuhcej_P1,4002.32,2493.85,2750.21,11.03405,5.28356,11.03405
6483,wuhmap_P1_H,513.686,1173.46,648.165,8.69598,8.06699,8.69362
6484,wujfox_P1_charged,1170.37,1799.64,1863.67,9.24219,8.76145,9.24219
6485,wujhiv_P1,337.575,1281.19,1204.42,4.51477,3.42699,4.51477
6486,wujruq_P1_H,453.351,1470.29,1212.52,5.19284,3.47327,4.97211
6487,wujwik_P1,793.396,1556.96,1349.02,5.85269,4.35562,5.85131
6489,wulhap_P1,1002.41,1991.5,1882.52,5.60749,3.98435,5.60079
6490,wuljar_P1,158.999,577.745,265.278,4.92226,3.38467,4.91177
6493,wulwos_P1_H,1833.32,816.872,616.651,6.64765,3.60745,6.64765
6494,wulwuy_P1_H,1344.3,616.181,448.354,7.72441,6.46399,7.72228
6495,wupsei_P1_charged,1919.09,1849.15,1627.51,6.48847,5.44953,6.47871
6496,wuptuy01_P1,7842.25,1242.83,2063.06,19.34742,13.73176,19.34742
6497,wuptuy_P1,7864.55,1238.46,2068.93,19.29468,14.01273,19.28767
6499,wupzoy_P1_charged,107.387,744.012,485.365,5.95497,3.10239,5.95497
6500,wupzue_P1_H,110.471,1258.63,784.628,5.04351,3.43238,5.04351
6502,wussek_P1,657.683,1728.89,1813.5,8.48774,6.12459,8.47169
6503,wutxuh_P1_charged_H,1226.6,1839.19,1696.19,6.61824,5.45772,6.5807
6504,wuvgol_P1,140.88,1036.76,518.906,4.72175,3.17335,4.66912
6505,wuvmuy_P1,6416.53,2246.94,2022.79,6.7385,4.0485,6.56105
6508,wuzgef01_P1,1652.48,2213.35,2706.17,9.04154,6.21636,9.03833
6509,wuzgoq_P1,224.602,1167.18,887.027,4.62165,4.09173,4.60105
6511,xabnog_P1,192.927,573.342,265.41,4.72796,3.13863,4.72796
6512,xaclar_P1,379.951,655.814,380.693,5.65864,2.95761,5.658
6513,xaczeh_P1,1735.86,1427.67,1118.16,10.16407,7.24228,10.16407
6514,xaddaj01_P1,627.775,1328.6,918.113,5.20339,3.03927,5.20339
6515,xaddaj_P1_H,624.309,1336.21,914.836,5.4262,3.16761,5.42049
6516,xaddox_P1,1301.77,1977.03,1509.6,4.79975,3.30489,4.63984
6518,xadgam_P1_H,209.023,818.781,681.457,5.03341,3.9201,4.96771
6520,xafxot_P1,44.3439,523.99,267.494,4.47124,4.11916,4.47124
6530,xahped_P1_H,5399.25,2040.89,5199.3,12.36915,9.63555,12.35968
6531,xahpih_P1_H,4586.62,1788.61,4758.3,13.99316,11.94261,13.99316
6532,xahpon_P1_H,6399.78,1539.03,5203.39,16.15931,15.15705,16.12911
6533,xahput_P1_H,8790.55,1136.87,6092.62,21.54594,19.72124,21.54594
6534,xahqaa_P1_H,8156.83,1054.95,5961.36,21.95581,21.3578,21.95581
6535,xahroq_P1,417.581,2218.98,1740.18,4.44177,3.73481,4.31617
6536,xajgic_P1,1310.76,545.141,467.728,8.83312,3.28767,8.83311
6537,xajsej_P1_H,1176.2,2412.36,2845.5,7.71141,6.96753,7.70741
6538,xakciz_P1,797.694,1583.55,1243.05,5.5,3.60206,5.48583
6540,xakqor_P1,646.929,2228.13,2308.56,6.07415,4.27878,5.44099
6542,xakyue_P1_H,4946.44,1700.62,1794.07,12.06174,5.11746,11.85025
6543,xakzal_P1,784.366,271.057,253.634,8.83083,3.7824,4.45691
6544,xakzep_P1,5081.4,1802.64,1920.92,11.84752,7.57655,11.84752
6545,xakzoz_P1,5278.11,1836.85,1995.28,12.17791,5.48996,12.17791
